Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
A Symonds,4,3,1,161,117*,80.5,105,153.33,1,0,0,15,9,3,6.5,0,101,0,-,-,14.78,-,0,0,3,0
RG Sharma,13,12,1,404,76*,36.72,273,147.98,0,4,1,38,19,1,4,0,25,1,45658,25,6.25,24,0,0,8,0
SB Styris,8,8,2,112,36*,18.66,123,91.05,0,0,0,9,2,8,27,0,199,3,45292,66.33,7.37,54,0,0,1,0
Y Venugopal Rao,11,10,2,288,71*,36,210,137.14,0,2,0,22,15,7,14,0,137,2,45689,68.5,9.78,42,0,0,0,0
Shahid Afridi,10,9,1,81,33,10.12,46,176.08,0,0,1,7,6,10,30,0,225,9,46813,25,7.5,20,0,0,4,0
AC Gilchrist,14,14,1,436,109*,33.53,318,137.1,1,3,0,51,19,-,-,-,-,-,-,-,-,-,-,-,6,1
PP Ojha,13,4,2,2,1*,1,4,50,0,0,2,0,0,12,37,0,284,11,43132,25.81,7.67,20.1,0,0,3,0
VVS Laxman,6,6,1,155,52,31,132,117.42,0,1,1,22,1,-,-,-,-,-,-,-,-,-,-,-,1,0
DP Vijaykumar,9,2,2,1,1*,-,1,100,0,0,0,0,0,9,25.2,0,199,4,42736,49.75,7.85,38,0,0,0,0
LPC Silva,3,3,1,40,23*,20,26,153.84,0,0,1,5,1,1,1,0,21,0,-,-,21,-,0,0,3,0
PM Sarvesh Kumar,2,1,1,1,1*,-,2,50,0,0,0,0,0,2,5,0,42,1,43101,42,8.4,30,0,0,0,0
WPUJC Vaas,5,4,1,21,12*,7,18,116.66,0,0,2,0,1,5,17,0,145,5,44076,29,8.52,20.4,0,0,0,0
HH Gibbs,9,9,0,167,47,18.55,153,109.15,0,0,0,17,8,-,-,-,-,-,-,-,-,-,-,-,5,0
RP Singh,14,9,5,27,10,6.75,24,112.5,0,0,0,2,1,14,51.2,1,442,15,12844,29.46,8.61,20.5,0,0,5,0
DB Ravi Teja,7,6,0,109,40,18.16,82,132.92,0,0,0,10,5,1,2,0,19,1,43466,19,9.5,12,0,0,2,0
SB Bangar,11,7,1,47,17*,7.83,49,95.91,0,0,1,1,3,9,25,0,219,4,12451,54.75,8.76,37.5,0,0,2,0
DNT Zoysa,3,2,1,11,10*,11,9,122.22,0,0,0,1,0,3,11,0,99,2,10959,49.5,9,33,0,0,1,0
AS Yadav,8,6,1,49,16,9.8,39,125.64,0,0,1,5,2,-,-,-,-,-,-,-,-,-,-,-,1,0
D Kalyankrishna,3,1,0,3,3,3,8,37.5,0,0,0,0,0,3,8,0,87,2,10959,43.5,10.87,24,0,0,1,0
H Das,1,1,0,2,2,2,5,40,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
