Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
A Symonds,8,8,1,249,60*,35.57,166,150,0,1,0,15,11,8,24,0,160,7,43132,22.85,6.66,20.5,0,0,1,0
PP Ojha,15,4,1,1,1,0.33,7,14.28,0,0,2,0,0,15,53.3,0,348,18,44256,19.33,6.5,17.8,0,0,2,0
HH Gibbs,14,14,3,371,69*,33.72,331,112.08,0,4,4,32,12,-,-,-,-,-,-,-,-,-,-,-,11,0
FH Edwards,6,2,1,4,3*,4,5,80,0,0,0,0,0,6,23.2,1,154,5,46419,30.8,6.6,28,0,0,0,0
AC Gilchrist,16,16,0,495,85,30.93,325,152.3,0,3,2,54,29,-,-,-,-,-,-,-,-,-,-,-,10,8
WPUJC Vaas,2,2,1,30,20,30,21,142.85,0,0,0,1,1,2,8,0,71,4,43497,17.75,8.87,12,0,0,0,0
RP Singh,16,6,2,8,4,2,17,47.05,0,0,2,0,0,16,59.4,1,417,23,44652,18.13,6.98,15.5,1,0,7,0
RG Sharma,16,16,3,362,52,27.84,315,114.92,0,1,0,22,18,12,23,0,161,11,43986,14.63,7,12.5,1,0,5,0
DR Smith,8,8,0,215,49,26.87,132,162.87,0,0,0,12,15,8,14,0,124,1,45658,124,8.85,84,0,0,6,0
TL Suman,12,12,2,237,41*,23.7,190,124.73,0,0,1,18,8,5,15,0,108,5,41671,21.6,7.2,18,0,0,2,0
RJ Harris,8,5,4,21,9*,21,18,116.66,0,0,0,0,0,8,31,2,230,6,46447,38.33,7.41,31,0,0,5,0
DB Ravi Teja,9,6,3,65,27,21.66,70,92.85,0,0,0,7,0,-,-,-,-,-,-,-,-,-,-,-,4,0
SB Styris,2,1,0,14,14,14,8,175,0,0,0,0,1,2,8,0,64,5,11749,12.8,8,9.6,0,0,0,0
Y Venugopal Rao,16,13,2,124,32,11.27,114,108.77,0,0,2,6,3,6,15,0,122,4,44958,30.5,8.13,22.5,0,0,7,0
AA Bilakhia,6,6,2,67,22,16.75,81,82.71,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-,0,0
Harmeet Singh,7,-,-,-,-,-,-,-,-,-,-,-,-,7,22.5,0,192,3,44958,64,8.4,45.6,0,0,3,0
Shoaib Ahmed,8,3,1,1,1*,0.5,6,16.66,0,0,2,0,0,7,17,0,152,5,43862,30.4,8.94,20.4,0,0,4,0
VVS Laxman,5,5,0,19,10,3.8,33,57.57,0,0,2,1,1,-,-,-,-,-,-,-,-,-,-,-,1,0
Jaskaran Singh,2,1,1,0,0*,-,0,-,0,0,0,0,0,1,3,0,32,0,-,-,10.66,-,0,0,0,0
