Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
KD Karthik,16,16,6,498,52,49.8,337,147.77,0,2,0,49,16,-,-,-,-,-,-,-,-,-,-,-,14,4
N Rana,15,15,2,304,59,23.38,232,131.03,0,1,0,26,14,5,6.1,0,44,4,44137,11,7.13,9.2,0,0,2,0
Shubman Gill,13,11,5,203,57*,33.83,139,146.04,0,1,0,22,5,-,-,-,-,-,-,-,-,-,-,-,3,0
SP Narine,16,16,0,357,75,22.31,188,189.89,0,2,0,40,23,16,61,0,467,17,43160,27.47,7.65,21.5,0,0,1,0
CA Lynn,16,16,1,491,74,32.73,377,130.23,0,3,1,56,18,-,-,-,-,-,-,-,-,-,-,-,3,0
Kuldeep Yadav,16,3,2,12,7*,12,24,50,0,0,0,1,0,16,51.2,0,418,17,43922,24.58,8.14,18.1,1,0,6,0
AD Russell,16,14,3,316,88*,28.72,171,184.79,0,1,1,17,31,15,37.5,0,355,13,11383,27.3,9.38,17.4,0,0,8,0
PP Chawla,15,7,3,27,12,6.75,34,79.41,0,0,1,1,1,15,49,0,412,14,17593,29.42,8.4,21,0,0,4,0
M Prasidh Krishna,7,2,2,1,1*,-,5,20,0,0,0,0,0,7,28,0,260,10,11049,26,9.28,16.8,1,0,1,0
RV Uthappa,16,16,0,351,54,21.93,265,132.45,0,1,0,30,21,-,-,-,-,-,-,-,-,-,-,-,5,0
Shivam Mavi,9,4,1,13,7,4.33,15,86.66,0,0,1,1,0,9,28,0,270,5,41640,54,9.64,33.6,0,0,3,0
MG Johnson,6,2,2,16,12*,-,11,145.45,0,0,0,2,0,6,21,0,216,2,10959,108,10.28,63,0,0,2,0
JPR Scantlebury-Searles,4,2,1,8,6*,8,6,133.33,0,0,0,0,1,3,7,0,89,2,45292,44.5,12.71,21,0,0,4,0
TK Curran,5,4,1,23,18,7.66,28,82.14,0,0,0,3,0,5,10.1,0,118,6,43497,19.66,11.6,10.1,0,0,1,0
RK Singh,4,4,0,29,16,7.25,31,93.54,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,-,4,0
R Vinay Kumar,2,1,1,6,6*,-,3,200,0,0,0,1,0,2,3.5,0,65,2,10990,32.5,16.95,11.5,0,0,2,0
