Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
DPMD Jayawardene,10,10,4,219,52*,36.5,165,132.72,0,1,0,17,7,-,-,-,-,-,-,-,-,-,-,-,8,0
RS Bopara,5,5,0,138,84,27.6,119,115.96,0,1,0,8,7,2,1.2,0,5,0,-,-,3.75,-,0,0,1,0
KC Sangakkara,14,13,2,332,60,30.18,324,102.46,0,2,1,29,5,-,-,-,-,-,-,-,-,-,-,-,6,2
B Lee,5,4,2,28,14*,14,34,82.35,0,0,0,2,1,5,20,1,111,5,42064,22.2,5.55,24,0,0,1,0
Yuvraj Singh,14,14,2,340,58*,28.33,294,115.64,0,2,0,25,16,9,20,0,142,6,41334,23.66,7.1,20,0,0,5,0
RR Powar,9,4,3,23,10,23,22,104.54,0,0,0,2,0,8,21,0,132,5,44137,26.4,6.28,25.2,0,0,3,0
WA Mota,8,6,1,30,12,6,48,62.5,0,0,0,0,0,5,9,0,61,3,43983,20.33,6.77,18,0,0,3,0
PP Chawla,14,10,5,31,8*,6.2,36,86.11,0,0,3,3,0,14,44.5,1,308,12,44593,25.66,6.86,22.4,0,0,6,0
IK Pathan,14,12,2,196,39,19.6,158,124.05,0,0,1,17,6,14,50.2,1,390,17,12844,22.94,7.74,17.7,0,0,4,0
SM Katich,9,9,0,145,50,16.11,117,123.93,0,1,1,14,6,-,-,-,-,-,-,-,-,-,-,-,2,0
K Goel,9,9,1,124,38,15.5,133,93.23,0,0,2,9,4,4,8,0,61,0,-,-,7.62,-,0,0,5,0
S Sohal,8,8,0,115,43,14.37,93,123.65,0,0,1,9,8,-,-,-,-,-,-,-,-,-,-,-,2,0
VS Malik,5,-,-,-,-,-,-,-,-,-,-,-,-,5,12,0,98,2,44166,49,8.16,36,0,0,1,0
S Sreesanth,7,2,2,5,4*,-,18,27.77,0,0,0,1,0,7,23,0,192,6,43862,32,8.34,23,0,0,0,0
LA Pomersbach,4,4,0,41,26,10.25,49,83.67,0,0,0,3,1,-,-,-,-,-,-,-,-,-,-,-,1,0
YA Abdulla,9,-,-,-,-,-,-,-,-,-,-,-,-,9,28,1,241,14,11414,17.21,8.6,12,2,0,0,0
VRV Singh,5,-,-,-,-,-,-,-,-,-,-,-,-,4,9,0,82,1,44562,82,9.11,54,0,0,2,0
RR Bose,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,24,0,-,-,12,-,0,0,0,0
T Kohli,2,2,1,1,1,1,4,25,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
TM Srivastava,2,1,1,0,0*,-,1,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
