Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
DB Das,15,10,7,126,35*,42,93,135.48,0,0,0,9,6,-,-,-,-,-,-,-,-,-,-,-,5,0
L Balaji,8,-,-,-,-,-,-,-,-,-,-,-,-,8,30,1,162,11,43191,14.72,5.4,16.3,1,0,1,0
G Gambhir,17,17,1,590,93,36.87,411,143.55,0,6,2,64,17,-,-,-,-,-,-,-,-,-,-,-,4,0
SP Narine,15,2,1,9,9*,9,7,128.57,0,0,1,2,0,15,59.1,1,324,24,43586,13.5,5.47,14.7,1,1,1,0
MS Bisla,7,7,0,213,89,30.42,160,133.12,0,1,0,16,10,-,-,-,-,-,-,-,-,-,-,-,6,2
LR Shukla,11,8,2,75,26,12.5,57,131.57,0,0,1,4,5,2,2,0,12,1,43952,12,6,12,0,0,6,0
MK Tiwary,16,15,5,260,59,26,246,105.69,0,1,1,21,3,-,-,-,-,-,-,-,-,-,-,-,10,0
Shakib Al Hasan,8,7,1,91,42,15.16,74,122.97,0,0,0,6,3,8,30,0,195,12,42795,16.25,6.5,15,0,0,1,0
JH Kallis,17,17,1,409,79,25.56,384,106.51,0,2,1,34,10,16,54,0,403,15,44014,26.86,7.46,21.6,0,0,2,0
Iqbal Abdulla,9,2,2,2,1*,-,3,66.66,0,0,0,0,0,8,22,0,144,4,43831,36,6.54,33,0,0,5,0
BB McCullum,12,12,0,289,56,24.08,283,102.12,0,1,0,37,3,-,-,-,-,-,-,-,-,-,-,-,9,6
R Bhatia,17,6,3,35,12,11.66,28,125,0,0,0,4,0,16,53.1,0,389,13,41671,29.92,7.31,24.5,0,0,6,0
B Lee,10,3,1,42,25,21,20,210,0,0,0,2,4,10,38,1,299,7,46054,42.71,7.86,32.5,0,0,1,0
YK Pathan,17,16,6,194,40*,19.4,169,114.79,0,0,2,10,7,12,22,0,182,3,44167,60.66,8.27,44,0,0,3,0
RN ten Doeschate,3,3,1,21,11,10.5,21,100,0,0,0,1,1,1,3,0,24,1,45292,24,8,18,0,0,1,0
PJ Sangwan,1,-,-,-,-,-,-,-,-,-,-,-,-,1,4,0,42,1,15342,42,10.5,24,0,0,0,0
JD Unadkat,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,32,0,-,-,10.66,-,0,0,0,0
M de Lange,3,-,-,-,-,-,-,-,-,-,-,-,-,3,10,0,107,3,12479,35.66,10.7,20,0,0,0,0
