Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
DA Warner,14,14,1,562,91,43.23,359,156.54,0,7,0,65,21,-,-,-,-,-,-,-,-,-,-,-,8,0
Parvez Rasool,2,1,1,2,2*,-,2,100,0,0,0,0,0,2,5,0,31,1,43850,31,6.2,30,0,0,0,0
MC Henriques,9,9,2,287,74*,41,211,136.01,0,2,0,19,13,9,25,0,158,11,43906,14.36,6.32,13.6,0,0,1,0
KS Williamson,2,2,1,31,26*,31,27,114.81,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,2,0
Bipul Sharma,4,1,0,1,1,1,2,50,0,0,0,0,0,3,7,0,50,3,43874,16.66,7.14,14,0,0,0,0
RS Bopara,9,8,3,145,41,29,120,120.83,0,0,1,6,6,7,20,0,160,6,43879,26.66,8,20,0,0,2,0
B Kumar,14,3,2,17,11*,17,10,170,0,0,1,2,1,14,51.4,1,407,18,43916,22.61,7.87,17.2,0,0,5,0
KL Rahul,9,8,3,142,44*,28.4,126,112.69,0,0,0,8,5,-,-,-,-,-,-,-,-,-,-,-,1,0
S Dhawan,14,14,1,353,54,27.15,286,123.42,0,3,0,45,6,-,-,-,-,-,-,-,-,-,-,-,6,0
A Ashish Reddy,6,5,2,73,22*,24.33,46,158.69,0,0,0,3,5,4,6,0,50,3,43841,16.66,8.33,12,0,0,1,0
KV Sharma,14,9,3,104,32,17.33,85,122.35,0,0,0,3,6,14,39.5,0,332,10,43873,33.2,8.33,23.9,0,0,4,0
EJG Morgan,9,9,1,187,63,23.37,151,123.84,0,1,0,11,11,-,-,-,-,-,-,-,-,-,-,-,5,0
TA Boult,7,-,-,-,-,-,-,-,-,-,-,-,-,7,28,0,236,9,43909,26.22,8.42,18.6,0,0,2,0
DW Steyn,6,3,2,20,19*,20,13,153.84,0,0,1,3,0,6,19,0,170,3,13912,56.66,8.94,38,0,0,2,0
P Kumar,12,4,1,17,12,5.66,25,68,0,0,1,1,0,12,36,0,329,7,12816,47,9.13,30.8,0,0,3,0
I Sharma,4,-,-,-,-,-,-,-,-,-,-,-,-,4,14,0,159,1,43855,159,11.35,84,0,0,0,0
NV Ojha,14,11,1,137,28,13.7,121,113.22,0,0,2,12,4,-,-,-,-,-,-,-,-,-,-,-,6,1
GH Vihari,5,4,0,39,16,9.75,35,111.42,0,0,0,6,0,-,-,-,-,-,-,-,-,-,-,-,2,0
