Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table2.Inns,Table2.Overs,Table2.Mdns,Table2.Runs,Table2.Wkts,Table2.BBI,Table2.Ave,Table2.Econ,Table2.SR,Table2.4,Table2.5,Table2.Ct,Table2.St
SPD Smith,12,10,2,319,73*,39.87,275,116,0,3,0,30,4,-,-,-,-,-,-,-,-,-,-,-,3,0
STR Binny,8,5,2,70,33*,23.33,40,175,0,0,1,5,4,5,7,0,44,1,43466,44,6.28,42,0,0,0,0
JC Buttler,8,8,0,311,89,38.87,205,151.7,0,3,0,38,14,-,-,-,-,-,-,-,-,-,-,-,8,0
JC Archer,11,5,3,67,27*,33.5,40,167.5,0,0,0,4,4,11,43,2,291,11,42064,26.45,6.76,23.4,0,0,3,0
SV Samson,12,12,2,342,102*,34.2,230,148.69,1,0,1,28,13,-,-,-,-,-,-,-,-,-,-,-,4,1
S Gopal,14,7,3,63,19*,15.75,46,136.95,0,0,2,8,1,14,48,1,347,20,44168,17.35,7.22,14.4,0,0,5,0
O Thomas,4,-,-,-,-,-,-,-,-,-,-,-,-,4,10,0,79,5,43984,15.8,7.9,12,0,0,1,0
AM Rahane,14,13,1,393,105*,32.75,285,137.89,1,1,1,45,9,-,-,-,-,-,-,-,-,-,-,-,5,0
K Gowtham,7,4,1,18,9,6,19,94.73,0,0,0,1,1,7,20,0,166,1,11689,166,8.3,120,0,0,0,0
R Parag,7,5,0,160,50,32,126,126.98,0,1,0,17,5,7,14,0,121,2,44105,60.5,8.64,42,0,0,5,0
RA Tripathi,8,7,1,141,50,23.5,118,119.49,0,1,0,13,2,-,-,-,-,-,-,-,-,-,-,-,3,0
IS Sodhi,2,1,0,6,6,6,11,54.54,0,0,0,0,0,2,7.1,1,67,4,46082,16.75,9.34,10.7,0,0,0,0
DS Kulkarni,10,1,1,5,5*,-,3,166.66,0,0,0,1,0,10,35,1,335,6,41640,55.83,9.57,35,0,0,5,0
LS Livingstone,4,4,1,70,44,23.33,48,145.83,0,0,0,6,5,1,1,0,13,0,-,-,13,-,0,0,4,0
VR Aaron,5,1,1,3,3*,-,7,42.85,0,0,0,0,0,5,12,1,116,4,43862,29,9.66,18,0,0,1,0
BA Stokes,9,9,3,123,46,20.5,99,124.24,0,0,1,8,4,6,16.5,0,189,6,14277,31.5,11.22,16.8,0,0,3,0
JD Unadkat,11,4,3,1,1,1,3,33.33,0,0,0,0,0,11,37.2,0,398,10,46054,39.8,10.66,22.4,0,0,3,0
MK Lomror,2,1,0,8,8,8,3,266.66,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,1,0
S Midhun,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,27,0,-,-,13.5,-,0,0,1,0
AJ Turner,4,4,1,3,3*,1,10,30,0,0,3,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
P Chopra,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0
