Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
CH Morris,12,12,44,0,308,13,2/30,23.69,7,20.3,0,0,8,0
J Yadav,5,5,17,0,125,2,1/23,62.5,7.35,51,0,0,1,0
A Mishra,14,14,46,0,344,13,4/11,26.46,7.47,21.2,1,0,3,0
NM Coulter-Nile,4,4,15,0,114,3,2/25,38,7.6,30,0,0,0,0
Z Khan,12,12,43.4,1,337,10,3/21,33.7,7.71,26.2,0,0,0,0
JP Duminy,10,5,7,0,55,2,1/4,27.5,7.85,21,0,0,3,0
CR Brathwaite,8,8,23.1,0,189,7,3/47,27,8.15,19.8,0,0,3,0
S Nadeem,4,4,15,0,127,2,2/23,63.5,8.46,45,0,0,0,0
Imran Tahir,4,4,16,0,138,5,3/24,27.6,8.62,19.2,0,0,0,0
P Negi,8,5,9,0,84,1,1/19,84,9.33,54,0,0,2,0
Mohammed Shami,8,8,25.1,0,244,5,2/34,48.8,9.69,30.2,0,0,1,0
MA Agarwal,3,-,-,-,-,-,-,-,-,-,-,-,0,0
SW Billings,5,-,-,-,-,-,-,-,-,-,-,-,3,0
Q de Kock,13,-,-,-,-,-,-,-,-,-,-,-,2,2
SS Iyer,6,-,-,-,-,-,-,-,-,-,-,-,4,0
KK Nair,14,-,-,-,-,-,-,-,-,-,-,-,3,0
RR Pant,10,-,-,-,-,-,-,-,-,-,-,-,3,0
SV Samson,14,-,-,-,-,-,-,-,-,-,-,-,3,1
