Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
YK Pathan,15,4,6,0,33,1,1/6,33,5.5,36,0,0,3,0
JW Hastings,2,2,6.4,1,37,2,2/6,18.5,5.55,20,0,0,0,0
SP Narine,11,11,42.4,0,304,11,3/26,27.63,7.12,23.2,0,0,2,0
C Munro,4,2,2,0,15,0,-,-,7.5,-,0,0,2,0
PP Chawla,12,11,35.2,0,273,11,2/21,24.81,7.72,19.2,0,0,3,0
Shakib Al Hasan,10,9,31,0,243,5,1/14,48.6,7.83,37.2,0,0,4,0
JO Holder,4,4,13,0,103,2,2/33,51.5,7.92,39,0,0,0,0
AD Russell,12,12,36.3,0,291,15,4/20,19.4,7.97,14.6,1,0,2,0
Kuldeep Yadav,3,3,12,0,100,6,3/35,16.66,8.33,12,0,0,1,0
M Morkel,10,10,35.3,0,297,10,2/27,29.7,8.36,21.3,0,0,0,0
GB Hogg,5,5,16,1,142,4,3/19,35.5,8.87,24,0,0,3,0
AS Rajpoot,4,4,11,0,98,3,1/14,32.66,8.9,22,0,0,0,0
UT Yadav,9,9,26,0,234,10,3/28,23.4,9,15.6,0,0,1,0
R Sathish,4,3,6,0,59,1,1/20,59,9.83,36,0,0,0,0
JD Unadkat,1,1,3,0,49,0,-,-,16.33,-,0,0,0,0
G Gambhir,15,-,-,-,-,-,-,-,-,-,-,-,1,0
CA Lynn,2,-,-,-,-,-,-,-,-,-,-,-,1,0
MK Pandey,12,-,-,-,-,-,-,-,-,-,-,-,7,0
RV Uthappa,15,-,-,-,-,-,-,-,-,-,-,-,10,4
SA Yadav,15,-,-,-,-,-,-,-,-,-,-,-,6,0
