Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
N Rana,4,1,1,0,3,0,-,-,3,-,0,0,0,0
S Gopal,1,1,3,0,18,0,-,-,6,-,0,0,0,0
R Vinay Kumar,3,3,9,1,64,3,Feb-17,21.33,7.11,18,0,0,0,0
KH Pandya,12,11,31.1,0,236,6,Feb-15,39.33,7.57,31.1,0,0,2,0
TG Southee,11,11,43,0,329,9,Mar-24,36.55,7.65,28.6,0,0,4,0
JJ Bumrah,14,14,52,0,406,15,Mar-13,27.06,7.8,20.8,0,0,1,0
Harbhajan Singh,14,14,49,0,392,9,Feb-29,43.55,8,32.6,0,0,4,0
MJ McClenaghan,14,14,53.2,0,436,17,Apr-21,25.64,8.17,18.8,1,0,0,0
HH Pandya,11,10,16.4,0,153,3,01-Jul,51,9.18,33.3,0,0,6,0
KA Pollard,13,4,6,0,81,0,-,-,13.5,-,0,0,5,0
J Suchith,1,1,2,0,31,0,-,-,15.5,-,0,0,0,0
JC Buttler,14,-,-,-,-,-,-,-,-,-,-,-,7,0
UBT Chand,1,-,-,-,-,-,-,-,-,-,-,-,0,0
MJ Guptill,3,-,-,-,-,-,-,-,-,-,-,-,0,0
PA Patel,10,-,-,-,-,-,-,-,-,-,-,-,9,1
AT Rayudu,13,-,-,-,-,-,-,-,-,-,-,-,4,0
RG Sharma,14,-,-,-,-,-,-,-,-,-,-,-,2,0
LMP Simmons,1,-,-,-,-,-,-,-,-,-,-,-,0,0
