Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table3.Inns,Table3.Overs,Table3.Mdns,Table3.Runs,Table3.Wkts,Table3.BBI,Table3.Ave,Table3.Econ,Table3.SR,Table3.4,Table3.5,Table3.Ct,Table3.St
Yuvraj Singh,14,13,3,343,66*,34.3,261,131.41,0,2,1,24,18,13,29,0,192,9,47209,21.33,6.62,19.3,1,0,5,0
S Rana,2,1,0,18,18,18,16,112.5,0,0,0,2,0,1,0.4,0,2,0,-,-,3,-,0,0,0,0
MK Pandey,10,9,0,246,59,27.33,227,108.37,0,1,0,28,6,-,-,-,-,-,-,-,-,-,-,-,5,0
JP Faulkner,1,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,9,1,44075,9,4.5,12,0,0,0,0
RV Uthappa,14,13,3,264,45,26.4,209,126.31,0,0,1,27,10,-,-,-,-,-,-,-,-,-,-,-,12,3
R Sharma,14,5,2,24,13,8,21,114.28,0,0,1,1,2,14,50,1,273,16,41334,17.06,5.46,18.7,0,0,7,0
NL McCullum,2,2,1,26,15,26,22,118.18,0,0,0,0,1,2,5,0,34,0,-,-,6.8,-,0,0,1,0
M Manhas,10,10,0,114,35,11.4,123,92.68,0,0,4,8,4,3,7,0,42,0,-,-,6,-,0,0,3,0
SC Ganguly,4,3,1,50,32*,25,59,84.74,0,0,1,3,2,-,-,-,-,-,-,-,-,-,-,-,1,0
SS Mundhe,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,6,1,43983,6,6,6,0,0,0,0
MR Marsh,5,3,1,50,37,25,49,102.04,0,0,0,2,3,5,14.1,0,99,7,45748,14.14,6.98,12.1,1,0,0,0
B Kumar,4,1,1,1,1*,-,1,100,0,0,0,0,0,4,11,0,67,3,41671,22.33,6.09,22,0,0,2,0
CJ Ferguson,5,4,2,48,16,24,54,88.88,0,0,0,6,0,-,-,-,-,-,-,-,-,-,-,-,1,0
JD Ryder,13,13,0,292,60,22.46,197,148.22,0,2,1,37,11,7,15.2,1,118,4,44044,29.5,7.69,23,0,0,4,0
MD Mishra,6,5,1,67,37*,16.75,60,111.66,0,0,0,5,2,-,-,-,-,-,-,-,-,-,-,-,0,0
WD Parnell,8,5,2,37,16,12.33,39,94.87,0,0,0,2,1,8,29.2,0,213,9,12844,23.66,7.26,19.5,0,0,1,0
Harpreet Singh,2,2,1,14,13,14,20,70,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,2,0
SB Wagh,7,2,0,2,2,1,3,66.66,0,0,1,0,0,7,16,0,121,4,42430,30.25,7.56,24,0,0,1,0
M Kartik,6,3,2,12,11,12,15,80,0,0,0,1,0,6,21,1,166,1,46388,166,7.9,126,0,0,1,0
AC Thomas,11,2,2,1,1*,-,4,25,0,0,0,0,0,11,38.3,2,297,11,44958,27,7.71,21,0,0,2,0
GC Smith,4,4,0,42,24,10.5,51,82.35,0,0,1,6,0,-,-,-,-,-,-,-,-,-,-,-,1,0
JE Taylor,5,2,1,3,2,3,3,100,0,0,0,0,0,5,19.3,0,157,6,11018,26.16,8.05,19.5,0,0,0,0
AA Jhunjhunwala,3,2,0,10,10,5,18,55.55,0,0,1,2,0,2,2,0,22,0,-,-,11,-,0,0,4,0
Kamran Khan,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,47,0,-,-,15.66,-,0,0,0,0
TD Paine,2,2,0,10,8,5,26,38.46,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
