Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table4.Inns,Table4.Overs,Table4.Mdns,Table4.Runs,Table4.Wkts,Table4.BBI,Table4.Ave,Table4.Econ,Table4.SR,Table4.4,Table4.5,Table4.Ct,Table4.St
AD Russell,14,13,4,510,80*,56.66,249,204.81,0,4,1,31,52,12,30.1,0,287,11,44228,26.09,9.51,16.4,0,0,4,0
S Sandeep Warrier,3,-,-,-,-,-,-,-,-,-,-,-,-,3,12,0,85,2,11355,42.5,7.08,36,0,0,1,0
N Rana,14,11,1,344,85*,34.4,235,146.38,0,3,1,27,21,6,8,0,72,3,44044,24,9,16,0,0,3,0
SP Narine,12,9,1,143,47,17.87,86,166.27,0,0,0,17,9,12,44.2,1,347,10,43497,34.7,7.82,26.6,0,0,0,0
Shubman Gill,14,13,4,296,76,32.88,238,124.36,0,3,0,21,10,-,-,-,-,-,-,-,-,-,-,-,7,0
Kuldeep Yadav,9,4,2,12,10*,6,8,150,0,0,2,1,0,9,33,0,286,4,15008,71.5,8.66,49.5,0,0,3,0
KD Karthik,14,13,5,253,97*,31.62,173,146.24,0,2,0,22,14,-,-,-,-,-,-,-,-,-,-,-,7,0
HF Gurney,8,1,1,1,1*,-,5,20,0,0,0,0,0,8,27,0,238,7,45689,34,8.81,23.1,0,0,0,0
RV Uthappa,12,11,2,282,67*,31.33,245,115.1,0,1,1,28,10,-,-,-,-,-,-,-,-,-,-,-,4,0
PP Chawla,13,5,2,42,14*,14,37,113.51,0,0,0,4,2,13,44.3,0,399,10,43891,39.9,8.96,26.7,0,0,5,0
CA Lynn,13,13,0,405,82,31.15,290,139.65,0,4,2,41,22,-,-,-,-,-,-,-,-,-,-,-,1,0
RK Singh,5,3,1,37,30,18.5,34,108.82,0,0,0,1,2,-,-,-,-,-,-,-,-,-,-,-,1,0
M Prasidh Krishna,11,1,0,0,0,0,2,0,0,0,1,0,0,11,40.2,0,377,4,44562,94.25,9.34,60.5,0,0,2,0
CR Brathwaite,2,2,0,11,6,5.5,10,110,0,0,0,1,0,2,3,0,29,0,-,-,9.66,-,0,0,0,0
NS Naik,1,1,0,7,7,7,16,43.75,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,0,0
LH Ferguson,5,-,-,-,-,-,-,-,-,-,-,-,-,5,17,0,183,2,13881,91.5,10.76,51,0,0,0,0
Y Prithvi Raj,2,1,1,0,0*,-,1,0,0,0,0,0,0,2,5,0,57,1,47119,57,11.4,30,0,0,0,0
KC Cariappa,1,1,1,9,9*,-,3,300,0,0,0,0,1,1,2,0,34,0,-,-,17,-,0,0,0,0
JL Denly,1,1,0,0,0,0,1,0,0,0,1,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
