Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table2.Inns,Table2.Overs,Table2.Mdns,Table2.Runs,Table2.Wkts,Table2.BBI,Table2.Ave,Table2.Econ,Table2.SR,Table2.4,Table2.5,Table2.Ct,Table2.St
JC Buttler,13,13,3,548,95*,54.8,353,155.24,0,5,0,52,21,-,-,-,-,-,-,-,-,-,-,-,9,1
IS Sodhi,6,1,0,1,1,1,6,16.66,0,0,0,0,0,6,23,0,135,5,41640,27,5.86,27.6,0,0,0,0
SV Samson,15,15,1,441,92*,31.5,320,137.81,0,3,1,30,19,-,-,-,-,-,-,-,-,-,-,-,5,0
DJM Short,7,7,0,115,44,16.42,99,116.16,0,0,0,11,5,2,3,0,19,1,44105,19,6.33,18,0,0,2,0
AM Rahane,15,14,1,370,65*,28.46,313,118.21,0,1,0,39,5,-,-,-,-,-,-,-,-,-,-,-,4,0
S Gopal,11,4,1,50,24,16.66,45,111.11,0,0,1,5,0,10,31,0,236,11,42461,21.45,7.61,16.9,1,0,3,0
RA Tripathi,12,12,3,226,80*,25.11,167,135.32,0,1,0,18,8,-,-,-,-,-,-,-,-,-,-,-,4,0
K Gowtham,15,13,4,126,33*,14,64,196.87,0,0,1,9,9,15,40,0,312,11,44167,28.36,7.8,21.8,0,0,10,0
MK Lomror,2,2,1,20,11,20,21,95.23,0,0,0,1,0,2,3,0,27,0,-,-,9,-,0,0,0,0
BA Stokes,13,13,1,196,45,16.33,161,121.73,0,0,1,13,6,12,37,1,303,8,42064,37.87,8.18,27.7,0,0,6,0
H Klaasen,4,4,1,57,32,19,47,121.27,0,0,1,5,1,-,-,-,-,-,-,-,-,-,-,-,3,4
JC Archer,10,8,3,15,8,3,21,71.42,0,0,3,2,0,10,38.5,0,325,15,44621,21.66,8.36,15.5,0,0,1,0
DS Kulkarni,8,2,1,6,3*,6,7,85.71,0,0,0,0,0,8,19.5,0,188,4,11720,47,9.47,29.7,0,0,1,0
JD Unadkat,15,7,3,49,26,12.25,38,128.94,0,0,1,6,1,15,50.2,0,486,11,16862,44.18,9.65,27.4,0,0,6,0
B Laughlin,7,2,1,1,1*,1,4,25,0,0,1,0,0,7,20.5,0,211,9,42036,23.44,10.12,13.8,0,0,1,0
Anureet Singh,3,1,1,3,3*,-,4,75,0,0,0,0,0,3,4,0,42,1,43831,42,10.5,24,0,0,1,0
STR Binny,7,5,0,44,22,8.8,39,112.82,0,0,1,2,2,1,2,0,33,0,-,-,16.5,-,0,0,1,0
Ankit Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,11,0,-,-,11,-,0,0,0,0
P Chopra,1,1,0,8,8,8,6,133.33,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,0,0
