Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Table2.Inns,Table2.Overs,Table2.Mdns,Table2.Runs,Table2.Wkts,Table2.BBI,Table2.Ave,Table2.Econ,Table2.SR,Table2.4,Table2.5,Table2.Ct,Table2.St
DA Warner,12,12,2,692,100*,69.2,481,143.86,1,8,0,57,21,-,-,-,-,-,-,-,-,-,-,-,2,0
Rashid Khan,15,8,3,34,17*,6.8,23,147.82,0,0,3,2,2,15,60,1,377,17,44256,22.17,6.28,21.1,0,0,4,0
JM Bairstow,10,10,2,445,114,55.62,283,157.24,1,2,1,48,18,-,-,-,-,-,-,-,-,-,-,-,9,2
Mohammad Nabi,8,7,1,115,31,19.16,76,151.31,0,0,0,8,7,8,29.1,0,194,8,44139,24.25,6.65,21.8,1,0,6,0
MK Pandey,12,11,3,344,83*,43,263,130.79,0,3,0,34,6,-,-,-,-,-,-,-,-,-,-,-,7,0
B Kumar,15,5,2,12,7*,4,19,63.15,0,0,0,1,0,15,59,1,461,13,45323,35.46,7.81,27.2,0,0,4,0
MJ Guptill,3,3,0,81,36,27,53,152.83,0,0,0,4,7,-,-,-,-,-,-,-,-,-,-,-,1,0
YK Pathan,10,8,5,40,16*,13.33,45,88.88,0,0,1,1,1,1,1,0,8,0,-,-,8,-,0,0,1,0
KS Williamson,9,9,2,156,70*,22.28,130,120,0,1,0,12,5,-,-,-,-,-,-,-,-,-,-,-,2,0
KK Ahmed,9,1,0,0,0,0,1,0,0,0,1,0,0,9,34.5,0,287,19,11018,15.1,8.23,11,0,0,0,0
V Shankar,15,14,2,244,40*,20.33,193,126.42,0,0,0,11,12,5,8,0,70,1,44136,70,8.75,48,0,0,10,0
Sandeep Sharma,11,2,2,6,5*,-,3,200,0,0,0,1,0,11,42.4,0,352,12,43525,29.33,8.25,21.3,0,0,1,0
WP Saha,5,5,0,86,28,17.2,53,162.26,0,0,0,13,1,-,-,-,-,-,-,-,-,-,-,-,3,1
Shakib Al Hasan,3,1,0,9,9,9,10,90,0,0,0,0,0,3,10.5,0,95,2,46023,47.5,8.76,32.5,0,0,0,0
S Kaul,7,2,1,0,0*,0,1,0,0,0,1,0,0,7,27,0,242,6,12451,40.33,8.96,27,0,0,1,0
DJ Hooda,11,7,1,64,20,10.66,63,101.58,0,0,1,5,1,2,2,0,21,1,41275,21,10.5,12,0,0,10,0
Basil Thampi,3,1,1,1,1*,-,1,100,0,0,0,0,0,3,12,0,110,0,-,-,9.16,-,0,0,0,0
S Nadeem,3,-,-,-,-,-,-,-,-,-,-,-,-,3,9,0,90,2,45292,45,10,27,0,0,0,0
RK Bhui,1,1,0,7,7,7,12,58.33,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,0
Abhishek Sharma,3,3,1,9,5*,4.5,9,100,0,0,0,1,0,2,2,0,21,1,44105,21,10.5,12,0,0,1,0
