Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Inns.1,Overs,Mdns,Runs.1,Wkts,BBI,Ave.1,Econ,SR.1,4,5,Ct,St
YK Pathan,15,13,8,361,63*,72.2,248,145.56,0,3,0,33,13,4,6,0,33,1,43836,33,5.5,36,0,0,3,0
G Gambhir,15,15,2,501,90*,38.53,411,121.89,0,5,1,54,6,-,-,-,-,-,-,-,-,-,-,-,1,0
JW Hastings,2,-,-,-,-,-,-,-,-,-,-,-,-,2,6.4,1,37,2,43867,18.5,5.55,20,0,0,0,0
MK Pandey,12,11,3,248,52,31,183,135.51,0,2,1,17,9,-,-,-,-,-,-,-,-,-,-,-,7,0
SP Narine,11,4,3,7,4,7,13,53.84,0,0,0,0,0,11,42.4,0,304,11,43916,27.63,7.12,23.2,0,0,2,0
AD Russell,12,8,1,188,39*,26.85,114,164.91,0,0,0,10,15,12,36.3,0,291,15,43941,19.4,7.97,14.6,1,0,2,0
C Munro,4,3,0,30,16,10,30,100,0,0,0,3,0,2,2,0,15,0,-,-,7.5,-,0,0,2,0
RV Uthappa,15,15,0,394,72,26.26,289,136.33,0,3,1,45,8,-,-,-,-,-,-,-,-,-,-,-,10,4
PP Chawla,12,3,0,27,11,9,26,103.84,0,0,0,4,0,11,35.2,0,273,11,43882,24.81,7.72,19.2,0,0,3,0
SA Yadav,15,11,4,182,60,26,143,127.27,0,1,0,18,5,-,-,-,-,-,-,-,-,-,-,-,6,0
Shakib Al Hasan,10,7,2,114,66*,22.8,106,107.54,0,1,0,7,5,9,31,0,243,5,43844,48.6,7.83,37.2,0,0,4,0
CA Lynn,2,2,1,25,15,25,22,113.63,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,1,0
JO Holder,4,4,0,22,13,5.5,19,115.78,0,0,1,2,1,4,13,0,103,2,12086,51.5,7.92,39,0,0,0,0
Kuldeep Yadav,3,-,-,-,-,-,-,-,-,-,-,-,-,3,12,0,100,6,12844,16.66,8.33,12,0,0,1,0
M Morkel,10,2,2,1,1*,-,1,100,0,0,0,0,0,10,35.3,0,297,10,43888,29.7,8.36,21.3,0,0,0,0
UT Yadav,9,2,1,9,7*,9,5,180,0,0,0,0,1,9,26,0,234,10,43918,23.4,9,15.6,0,0,1,0
GB Hogg,5,1,1,0,0*,-,0,-,0,0,0,0,0,5,16,1,142,4,43909,35.5,8.87,24,0,0,3,0
R Sathish,4,3,0,24,10,8,24,100,0,0,0,1,1,3,6,0,59,1,43850,59,9.83,36,0,0,0,0
AS Rajpoot,4,-,-,-,-,-,-,-,-,-,-,-,-,4,11,0,98,3,43844,32.66,8.9,22,0,0,0,0
JD Unadkat,1,-,-,-,-,-,-,-,-,-,-,-,-,1,3,0,49,0,-,-,16.33,-,0,0,0,0
